document_id,most_prevalent_topic_id,most_prevalent_topic_probability,text_excerpt,state,school type,grade,year,subject
0,7,0.2627417125924155,"die Rolle des Selbst für Entwicklung und Selbst-Entwurf, erörtern unterschiedliche Phasen und Entscheidungen im Entwicklungsprozess in Bezug auf die Aspekte Anspruch, Wunsch und Wirklichkeit, überprüfen die Rolle von Vernunft und Emotion bei Entscheidungsprozessen, bewerten die vielfältigen Rollen im Prozess des Selbst-Entwurfs sowie deren Chancen und Grenzen. Inhaltsfeld : Zwischenmenschliche Beziehungen Inhaltlicher Schwerpunkt: - Gemeinschaft als Herausforderung Sachkompetenz Die Schülerinnen und Schüler",NRW,,Sek1,2024.0,"Ethik, Philo"
1,1,0.8550857601145122,"zu einem besseren Selbstverständnis und zu Toleranz gegenüber anderen Menschenbildern und Weltanschauungen beitragen. Als Grundlage für Urteile und Handlungen dienen nicht nur kognitive Prozesse, sondern auch ein reflektierter Umgang mit Emotionen. Zentrales Prinzip des Unterrichts im Fach Praktische Philosophie ist es, das Philosophieren zu lernen. Entsprechend philosophieren Schülerinnen und Schüler selbstständig, d. h. sie reflektieren grundsätzliche philosophische Fragestellungen und Probleme methodisch",NRW,,Sek1,2024.0,"Ethik, Philo"
2,7,0.7969428645223922,"Ende der Sekundarstufe I entwickelt werden. Inhaltsfeld : Das Selbst In diesem Inhaltsfeld geht es um Konzepte in Bezug auf den Menschen, dessen Persönlichkeit und Entwicklung. Hierbei werden individuelle Fähigkeiten, Emotionen sowie Vernunft und Vorstellungen des Seins besprochen. Verschiedene Möglichkeiten, sich und die eigene Persönlichkeit auszudrücken, werden in den Blick genommen. Durch die Auseinandersetzung mit diesen Konzepten werden eigene Handlungsmöglichkeiten eröffnet.",NRW,,Sek1,2024.0,"Ethik, Philo"
3,7,0.5654946723087635,"und Persönlichkeit Sachkompetenz Die Schülerinnen und Schüler erläutern Merkmale ihrer Person und ihrer Persönlichkeit, identifizieren menschliche Bedürfnisse und Fähigkeiten und die damit einhergehenden Stärken und Schwächen, erläutern den Einfluss von Emotionen auf den Menschen und für das Zusammenleben, entwickeln Vorstellungen von Rollen und deren Entwicklung, erläutern unterschiedliche Möglichkeiten des Ausdrucks von Persönlichkeit u. a. sprachlich, künstlerisch, spielerisch. Urteilskompetenz Die Schülerinnen und",NRW,,Sek1,2024.0,"Ethik, Philo"
4,7,0.4124451736239801,"des Ausdrucks von Persönlichkeit u. a. sprachlich, künstlerisch, spielerisch. Urteilskompetenz Die Schülerinnen und Schüler reflektieren die Bedeutung von Persönlichkeitsmerkmalen für den Lebensweg und für gesellschaftliches Miteinander, begründen die Relevanz von Emotionen und Fähigkeiten für den Entwicklungsprozess, beurteilen die Bedeutsamkeit von Sprache und weiterer Ausdrucksformen für sich selbst in der analogen und digitalen Welt. Inhaltsfeld : Zwischenmenschliche Beziehungen Inhaltlicher Schwerpunkt: - Beziehungen",NRW,,Sek1,2024.0,"Ethik, Philo"
5,10,0.9749992712869079,"Sternbilder, Vexierbilder, unmögliche Figuren nach Escher benennen Aspekte des Fürwahrhaltens bei Glauben, Meinen und Wissen. Kriterien zur Unterscheidung von Aussagen im Bereich des Glaubens, Wissens und Meinens, ästhetische Urteile, Geschmacksurteile, emotionale Urteile, Werturteil subjektive Überzeugung, Plausibilität, Intersubjektivität, Objektivität, Formen der Beweisbarkeit, Evidenz prüfen die Darstellung von Wirklichkeit in verschiedenen Medien. setzen sich mit unterschiedlichen Wahrheitsansprüchen auseinander. medienspezifische Abbildungen wie Foto, Film,",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
6,4,0.9470566691058434,"Ich entdecke mich selbst Bin ich so, wie ich mich sehe oder wie andere es mir sagen Was soll aus mir werden Kompetenzerwartungen Die Schülerinnen und Schüler können Sinnestäuschungen und emotionale Befangenheit beschreiben und reflektieren Wer bin ich, Wahrnehmungen differenziert beschreiben Wer bin ich, eigene Perspektiven und Gefühle von denen anderer unterscheiden Wer bin ich, Handlungsmuster z. B. Gewohnheiten beschreiben und",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
7,4,0.9666634743620579,"Selbständigkeit innerhalb des Zusammenlebens in der Gemeinschaft. Denkanstöße Was bedeutet Freundschaft für mich Welche Chancen bieten Freundschaften - welche Probleme können auftreten Kompetenzerwartungen Die Schülerinnen und Schüler können Sinnestäuschungen und emotionale Befangenheit beschreiben und reflektieren Chancen und Probleme, Wahrnehmungen differenziert beschreiben Chancen und Probleme, eigene Perspektiven und Gefühle von denen anderer unterscheiden Chancen und Probleme, Begriffe durch Beschreibungen verdeutlichen Freundschaft. inhaltsbezogene",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
8,4,0.9590873630970059,"Gütern unsere Handlungs- und Entwicklungsmöglichkeiten Wie wird unterschiedlicher Wohlstand gerechtfertigt Liegt Wohlstand in unserer Hand oder wird er durch äußere Einflüsse bestimmt Kompetenzerwartungen Die Schülerinnen und Schüler können Sinnestäuschungen und emotionale Befangenheit beschreiben und reflektieren Armut und Wohlstand, Wahrnehmungen differenziert beschreiben Armut und Wohlstand, eigene Perspektiven und Gefühle von denen anderer unterscheiden Armut und Wohlstand, ethisch relevante Fragen in Handlungen und",Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
9,5,0.9549902732793175,der Natur - Natur erhalten In der Lebenswelt der Schülerinnen und Schüler nimmt die Begegnung mit der Natur einen immer geringeren Raum ein. Häufig verfügen sie deshalb kaum über eine emotionale Bindung zur Natur und über ein kognitives Verständnis für Zusammenhänge in der Natur. Trotz dieser Distanz und Unkenntnis werden sie beständig mit der Frage eines angemessenen Umgangs mit der Natur,Saarland,GemS,"5,6",2018.0,"Ethik, Philo"
