document_id,most_prevalent_topic_id,most_prevalent_topic_probability,text_excerpt,state,school type,grade,year,subject
0,7,0.9336776186027343,"Fach Praktische Philosophie fußt auf der Sach-, Methoden- und Urteilskompetenz und bedeutet, dass die erworbene Orientierung im Denken zu eigenen verantwortbaren Handlungsoptionen führt. Die Handlungskompetenz zielt auf die Beteiligung an rationalen Diskursen, in denen auch die Perspektive anderer berücksichtigt wird, um sich mit ihnen respektvoll und sprachlich angemessen austauschen zu können. Das eigene Handeln jederzeit zu reflektieren und die argumentative Beteiligung",NRW,,Sek1,2024.0,"Ethik, Philo"
1,4,0.9723230226586007,"untersuchen verschiedene ethische Positionen und erfassen deren Tragweite, - erläutern unterschiedliche Lösungswege für moralische Problemstellungen. Diskutieren und Urteilen Für die Persönlichkeitsentwicklung ist es besonders förderlich, eigene Positionen im Rahmen eines rationalen, von Offenheit und Fairness geprägten Diskurses zu präsentieren, zu legitimieren und ggf. zu revidieren. Denn erst im argumentativen Austausch mit anderen Menschen kann die Befähigung zur ethischen Urteilsbildung hinreichend entfaltet",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
2,5,0.57114532515727,"Vorgehen des Odysseus. Deren Konzeption beginnt mit dem Erkennen dauerhaft wertgeschätzter Bedürfnisse Bedürfnisantizipation. Danach kann eine Selbstkontrollstrategie Immunisierungsstrategie gegen mögliche zukünftige, als nicht substantiell oder sogar als schädlich erkannte Bedürfnisse rational entworfen werden. Eine muss auf das gewählte Beispiel bezogen skizziert werden. Im Fall materiellen Konsums Kaufrausch etwa: Vermeidung von Shoppingtouren als Freizeitvergnügen, Schaufensterbummel nur nach Geschäftsschluss, Einkaufen nur in Begleitung",,,,2006.0,"Ethik, Philo"
3,7,0.5191575416166324,"ethischer Egoismus ist Maßstab für die moralische Beurteilung einer Handlung. Aktuelle Versionen des Utilitarismus Präferenzutilitarismus; Singer / Hoerster gehen vom Begriff des Interesses aus. Z.B. unterscheidet Hoerster das Überlebensinteresse als rationale Orientierung an der Zukunft vom Überlebensinstinkt vieler Lebewesen, die keine Zukunftsorientierung kennen. Das Vorhandensein dieses bewussten Überlebensinteresses unterscheidet den Menschen als Person von dem Menschen als Gattungswesen. Der Embryo ist",,,,2006.0,"Ethik, Philo"
4,5,0.5691815049230328,"wie komplex konkrete Probleme in den Bereichsethiken sein können und dass umfangreiche Information für ein qualifiziertes Urteil notwendig ist. Sie sollen zugleich auch lernen, dass zunächst unübersichtlich erscheinende Situationen der rationalen Analyse und der Verständigung über Lösungen zugänglich sind, die ethisch zu verantworten sind. Ziel des Fachs ist es hier nicht zuletzt, die Schülerinnen und Schüler zu befähigen, sowohl ihre Lebensgestaltungschancen",,,,2006.0,"Ethik, Philo"
5,4,0.5543200317129641,"Anfängen wurden dazu widersprüchliche Positionen formuliert und die fachwissenschaftliche Diskussion darüber ist eine genuin philosophische Form der Auseinandersetzung. Die heute verbreitete Auffassung von Philosophie als Reflexionswissenschaft legt besonderen Wert auf Rationalität und betont deren prinzipielle Offenheit hinsichtlich der Inhalte, die zum möglichen Gegenstand einer Reflexion werden können. Über alle Unterschiede im Selbstverständnis von Philosophie hinweg lässt sich als Gemeinsamkeit festhalten: Das",Berlin,Gym,Sek2,2022.0,"Ethik, Philo"
6,7,0.4502848434177093,"Standpunkt, gehen aber auch auf andere Argumente ein und differenzieren bzw. revidieren ihre Urteile ggf. im Gespräch. Ebenso überprüfen sie mündliche und schriftliche Beiträge anderer im Hinblick auf die Grundprinzipien rationalen Argumentierens. kontrollieren in Konfliktsituationen ihre Wut. versetzen sich in die Situation von Mobbingopfern. Sie sind sich der Bedeutung der Zuschauer bewusst und tragen zur Beendigung von Mobbingfällen bei. Inhalte zu",Bayern,Gym,7,,"Ethik, Philo"
7,7,0.8569085884175769,"z. B. unaufrichtiges Nachgeben Mobbing: Wirkung auf die Betroffenen, Rollenverteilung, Möglichkeiten zur Vermeidung bzw. Beendigung, Cybermobbing ein Konfliktlösungsmodell Strategien zur Selbstkontrolle von Wut, z. B. Selbstinstruktionen, Wutprotokoll, körperliche Aktivität Grundprinzipien rationalen Argumentierens: Folgerichtigkeit, Widerspruchsfreiheit, Wahrheitsverpflichtung und Überprüfbarkeit Eth Lernbereich : Erwachsen werden ca. Std. Kompetenzerwartungen Die Schülerinnen und Schüler ... reflektieren die Veränderungen, die in der Pubertät mit ihrem Körper, ihren",Bayern,Gym,7,,"Ethik, Philo"
8,1,0.9774354438272835,"ästhetisch-expressive Begegnung und Gestaltung Sprache/Literatur, Musik/bildende und theatrale Kunst/physische Expression normativ-evaluative Auseinandersetzung mit Wirtschaft und Gesellschaft Geschichte, Politik, Ökonomie, Recht, Wirtschaft, Gesundheit und Soziales einen Modus, in dem Probleme konstitutiver Rationalität behandelt werden und über die Bedingungen menschlicher Erkenntnis und menschlichen In-der-Welt-Seins nachgedacht wird Religion, Ethik und Philosophie. Jeder dieser gleichrangigen Modi bietet also eine eigene Art und Weise, die Wirklichkeit",Hessen,Gym,Sek2,2024.0,"Ethik, Philo"
9,7,0.9522509677628983,"verbindlich: Themenfelder - E. Menschen- und Weltbilder in den Religionen Konsequenzen anthropologischer Konzeptionen Gesellschaft und Mensch: Menschenbilder in den Religionen Mensch und Freiheit religiöse Geschichtsauffassungen Mythologie E. Glaube und Vernunft Rationale Letztbegründungskonzepte zum Beispiel Platon Erfahrung, Transzendenz, Glaube, religiöse Moralbegründung Erscheinung und Idee: Höhlengleichnis Probleme religiöser Sprache und Begrifflichkeiten ontologische Differenz E. Religionskritik Religionskritische Perspektiven zum Beispiel Freud, Marx Anthropologie Psychologie",Hessen,Gym,Sek2,2024.0,"Ethik, Philo"
